8/27/2025
12:47:23 PM



Time	v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13
1.940000	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580566	-10.581512	-10.580882	-10.581197	-10.581197	-2747.097063	-2757.831842	-2748.851328	-2750.979794	-2759.085739	-2761.507724	-2777.224194	-2777.990665	-10.580882	-10.580566	-10.581512	-10.580882	-10.581197	-10.581197
1.960000	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-2747.097063	-2757.831842	-2748.929367	-2750.901695	-2759.085739	-2761.507724	-2777.303043	-2777.990665	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882
1.980000	-10.580882	-10.580566	-10.580882	-10.581197	-10.580882	-10.580566	-10.581197	-10.580882	-10.580882	-10.580566	-10.581197	-10.580882	-10.580882	-10.580882	-2747.097063	-2757.753311	-2748.851328	-2750.979794	-2759.085739	-2761.429092	-2777.303043	-2777.990665	-10.580882	-10.580566	-10.581197	-10.580882	-10.580882	-10.580882
2.000000	-10.580882	-10.581197	-10.580882	-10.581197	-10.580882	-10.581197	-10.581197	-10.580566	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-2747.097063	-2757.910136	-2748.851328	-2750.979794	-2759.085739	-2761.586119	-2777.303043	-2777.911553	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882
2.020000	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-2747.175008	-2757.831842	-2748.851328	-2750.901695	-2759.085739	-2761.507724	-2777.224194	-2777.990665	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882
2.040000	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.581197	-2747.097063	-2757.831842	-2748.851328	-2750.901695	-2759.085739	-2761.586119	-2777.224194	-2778.069538	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.581197
2.060000	-10.580882	-10.580882	-10.580882	-10.581197	-10.581197	-10.580566	-10.580882	-10.580882	-10.581197	-10.580566	-10.581197	-10.580882	-10.581197	-10.580882	-2747.097063	-2757.831842	-2748.851328	-2750.979794	-2759.164068	-2761.429092	-2777.224194	-2777.990665	-10.581197	-10.580566	-10.581197	-10.580882	-10.581197	-10.580882
2.080000	-10.581197	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-10.581197	-10.580882	-2747.175008	-2757.910136	-2748.851328	-2750.901695	-2759.085739	-2761.507724	-2777.224194	-2777.990665	-10.580882	-10.580882	-10.581197	-10.580882	-10.581197	-10.580882
2.100000	-10.580882	-10.580882	-10.580882	-10.580566	-10.581197	-10.580882	-10.581197	-10.580882	-10.580882	-10.581197	-10.580882	-10.581197	-10.580882	-10.580882	-2747.097063	-2757.831842	-2748.851328	-2750.823359	-2759.164068	-2761.507724	-2777.303043	-2777.990665	-10.580882	-10.581197	-10.580882	-10.581197	-10.580882	-10.580882
2.120000	-10.581197	-10.581197	-10.580882	-10.580566	-10.581197	-10.580882	-10.580882	-10.581197	-10.581197	-10.581197	-10.581197	-10.580882	-10.580882	-10.580882	-2747.175008	-2757.910136	-2748.851328	-2750.823359	-2759.164068	-2761.507724	-2777.224194	-2778.069538	-10.581197	-10.581197	-10.581197	-10.580882	-10.580882	-10.580882
2.140000	-10.581197	-10.580882	-10.580566	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-2747.175008	-2757.831842	-2748.773052	-2750.901695	-2759.085739	-2761.507724	-2777.224194	-2777.990665	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882
2.160000	-10.581197	-10.581197	-10.581197	-10.580882	-10.581197	-10.580882	-10.581197	-10.580566	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.581512	-2747.175008	-2757.910136	-2748.929367	-2750.901695	-2759.164068	-2761.507724	-2777.303043	-2777.911553	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.581512
2.180000	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-2747.097063	-2757.831842	-2748.851328	-2750.901695	-2759.085739	-2761.507724	-2777.224194	-2777.990665	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882
2.200000	-10.580566	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.581197	-10.580882	-10.580882	-10.580882	-2747.018882	-2757.831842	-2748.851328	-2750.979794	-2759.085739	-2761.507724	-2777.224194	-2777.990665	-10.580882	-10.581197	-10.581197	-10.580882	-10.580882	-10.580882
2.220000	-10.580882	-10.580882	-10.580882	-10.580882	-10.581512	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-2747.097063	-2757.831842	-2748.851328	-2750.901695	-2759.242634	-2761.507724	-2777.224194	-2778.069538	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882
2.240000	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.581197	-10.580566	-10.581197	-10.580566	-10.580882	-2747.097063	-2757.831842	-2748.851328	-2750.901695	-2759.085739	-2761.507724	-2777.303043	-2777.990665	-10.580882	-10.581197	-10.580566	-10.581197	-10.580566	-10.580882
